id,title,price,in_stock,rating
21,A Light in the Attic,51.77,In stock,3
22,Tipping the Velvet,53.74,In stock,1
23,Soumission,50.1,In stock,1
24,Sharp Objects,47.82,In stock,4
25,Sapiens: A Brief History of Humankind,54.23,In stock,5
26,The Requiem Red,22.65,In stock,1
27,The Dirty Little Secrets of Getting Your Dream Job,33.34,In stock,4
28,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,In stock,3
29,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,In stock,4
30,The Black Maria,52.15,In stock,1
31,"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,In stock,2
32,Shakespeare's Sonnets,20.66,In stock,4
33,Set Me Free,17.46,In stock,5
34,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,In stock,5
35,Rip it Up and Start Again,35.02,In stock,5
36,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,In stock,3
37,Olio,23.88,In stock,1
38,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,In stock,1
39,Libertarianism for Beginners,51.33,In stock,2
40,It's Only the Himalayas,45.17,In stock,2
